timestamp,leader_x,leader_y,leader_velocity,leader_acceleration,leader_curvature,follower_x,follower_y,follower_velocity,follower_acceleration,desired_distance,actual_distance,distance_error,z1,z2,z3,z4,alpha,s,invGam1,invGam2,invGam3,invGam4,inP1_pos_err,inP1_vel_err,inP1_geom_vel,inP1_yaw_rate,inP2_pos_err,inP2_vel_err,inP2_geom_vel,inP2_yaw_rate,commanded_accel,commanded_velocity,commanded_angular
3487541347.136437,1.231526,0.105170,0.000000,0.000000,0.000000,-0.852272,0.052563,-0.001024,-0.429155,1.249744,2.084462,0.834718,0.854924,0.280047,0.001007,-0.000186,0.000000,0.000000,3.933202,-0.727955,0.145621,0.786802,0.854924,0.001007,0.000000,0.000000,0.280047,-0.000186,0.000000,0.000000,3.162825,0.063256,0.344836
3487541347.175896,1.231526,0.105170,0.000000,0.000000,0.000000,-0.852273,0.052558,0.000412,0.143697,1.250103,2.084463,0.834359,0.854568,0.280101,-0.000406,0.000075,0.000000,0.000000,3.933212,-0.727903,0.145569,0.786578,0.854568,-0.000406,0.000000,0.000000,0.280101,0.000075,0.000000,0.000000,3.155662,0.126370,0.344720
3487541347.218608,1.231526,0.105170,0.000000,0.000000,0.000000,-0.852197,0.052736,0.021045,3.807883,1.255261,2.084383,0.829122,0.849769,0.282733,-0.020687,0.003861,0.000000,0.000000,3.932104,-0.733867,0.146158,0.783125,0.849769,-0.020687,0.000000,0.000000,0.282733,0.003861,0.000000,0.000000,3.049713,0.187364,0.345616
3487541347.256692,1.231526,0.105170,0.000000,0.000000,0.000000,-0.851727,0.052685,0.037287,1.036903,1.259322,2.083914,0.824592,0.845247,0.283208,-0.036655,0.006831,0.000000,0.000000,3.932294,-0.732847,0.145485,0.780637,0.845247,-0.036655,0.000000,0.000000,0.283208,0.006831,0.000000,0.000000,2.967064,0.246705,0.344053
3487541347.296352,1.231526,0.105170,0.000000,0.000000,0.000000,-0.850919,0.052532,0.047580,1.029341,1.261895,2.083110,0.821215,0.841735,0.282896,-0.046781,0.008682,0.000000,0.000000,3.932845,-0.729881,0.144600,0.779155,0.841735,-0.046781,0.000000,0.000000,0.282896,0.008682,0.000000,0.000000,2.913613,0.304978,0.342135
3487541347.335878,1.231526,0.105170,0.000000,0.000000,0.000000,-0.850359,0.052380,0.075006,1.406301,1.268752,2.082554,0.813802,0.834273,0.283432,-0.073756,0.013635,0.000000,0.000000,3.933352,-0.727146,0.143280,0.775044,0.834273,-0.073756,0.000000,0.000000,0.283432,0.013635,0.000000,0.000000,2.775368,0.360485,0.339207
3487541347.378330,1.231526,0.105170,0.000000,0.000000,0.000000,-0.848815,0.052056,0.119996,1.551679,1.279999,2.081019,0.801020,0.821288,0.283731,-0.118033,0.021620,0.000000,0.000000,3.934542,-0.720677,0.140757,0.768466,0.821288,-0.118033,0.000000,0.000000,0.283731,0.021620,0.000000,0.000000,2.546930,0.411424,0.333640
3487541347.416913,1.231526,0.105170,0.000000,0.000000,0.000000,-0.845380,0.051419,0.133168,1.317191,1.283292,2.077601,0.794309,0.813798,0.280460,-0.131074,0.023526,0.000000,0.000000,3.937086,-0.706650,0.137663,0.766989,0.813798,-0.131074,0.000000,0.000000,0.280460,0.023526,0.000000,0.000000,2.473131,0.460886,0.327140
3487541347.456635,1.231526,0.105170,0.000000,0.000000,0.000000,-0.843943,0.051170,0.167055,1.884293,1.291764,2.076171,0.784408,0.803703,0.280418,-0.164469,0.029281,0.000000,0.000000,3.938076,-0.701114,0.135689,0.762151,0.803703,-0.164469,0.000000,0.000000,0.280418,0.029281,0.000000,0.000000,2.300219,0.506891,0.322775
3487541347.498174,1.231526,0.105170,0.000000,0.000000,0.000000,-0.840557,0.050522,0.201303,1.866396,1.300326,2.072803,0.772477,0.791084,0.278009,-0.198310,0.034578,0.000000,0.000000,3.940547,-0.687090,0.132100,0.757608,0.791084,-0.198310,0.000000,0.000000,0.278009,0.034578,0.000000,0.000000,2.121076,0.549312,0.315123
